fen,success,depth,nodes,time_s,score
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,262,0.006,"PovScore(Cp(-16), BLACK)"
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,6,2840,0.057,"PovScore(Cp(+23), BLACK)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,297,0.05,"PovScore(Cp(-22), BLACK)"
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.003,"PovScore(Cp(-25), BLACK)"
8/8/8/8/8/R6k/6rp/7K b - - 0 1,True,4,1608,0.207,"PovScore(Cp(-8), BLACK)"
8/8/8/4bk2/8/8/6Kp/8 b - - 0 1,False,6,13934,1.985,"PovScore(Cp(+531), BLACK)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.003,"PovScore(Cp(+23), WHITE)"
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,207,0.003,"PovScore(Cp(+23), WHITE)"
8/8/8/8/k7/p7/8/1K6 b - - 0 1,True,3,422,0.053,"PovScore(Cp(+23), BLACK)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2338,0.354,"PovScore(Cp(+20), BLACK)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2033,0.112,"PovScore(Cp(+20), BLACK)"
8/8/8/8/8/3pk3/8/4K3 b - - 0 1,True,2,339,0.054,"PovScore(Cp(-17), BLACK)"
2k5/8/2KP4/8/8/8/8/8 w - - 0 1,True,1,215,0.028,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,334,0.01,"PovScore(Cp(-22), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,3,611,0.013,"PovScore(Cp(+22), WHITE)"
6k1/8/7P/6K1/8/8/8/8 w - - 0 1,True,1,209,0.009,"PovScore(Cp(+23), WHITE)"
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.009,"PovScore(Cp(-25), BLACK)"
8/8/8/8/2b5/pk6/8/1K6 b - - 0 1,True,3,553,0.071,"PovScore(Cp(-24), BLACK)"
n7/PK6/3k2p1/3p2p1/3Pp1P1/4P3/8/8 b - - 0 1,True,5,2330,0.591,"PovScore(Cp(-5), BLACK)"
K7/2k5/P7/8/8/8/8/8 b - - 0 1,True,1,57,0.023,"PovScore(Cp(-25), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,3,656,0.015,"PovScore(Cp(+22), WHITE)"
7K/8/1Pk2Q2/8/4q3/8/8/8 b - - 0 1,True,1,250,0.06,"PovScore(Cp(-25), BLACK)"
6k1/4K1p1/6PP/8/8/8/8/8 w - - 0 1,True,1,263,0.025,"PovScore(Cp(+23), WHITE)"
8/6Q1/3K4/2P5/8/3q4/8/7k w - - 0 1,False,6,20749,7.929,"PovScore(Cp(+848), WHITE)"
1k6/4B3/PK6/8/8/8/8/8 w - - 0 1,True,1,453,0.028,"PovScore(Cp(+23), WHITE)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.006,"PovScore(Cp(+23), WHITE)"
8/8/8/1K6/8/3Q4/8/k1q5 w - - 0 1,True,1,763,0.058,"PovScore(Cp(+23), WHITE)"
4k3/8/3PK3/8/8/8/8/8 w - - 0 1,True,1,207,0.075,"PovScore(Cp(+23), WHITE)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,214,0.013,"PovScore(Cp(+23), WHITE)"
