fen,success,depth,nodes,time_s,score
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,209,0.035,+23
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.009,+23
3R1k2/8/8/8/1p6/5p2/1r3p2/5K2 b - - 0 1,True,6,2104,0.225,+14
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.08,+23
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,235,0.049,+15
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,6,2251,0.293,0
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,209,0.052,+23
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,2,353,0.018,+25
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,320,0.012,+16
8/8/8/8/8/7p/8/5K1k w - - 0 1,False,6,1126,0.146,+995
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,139,0.005,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,221,0.035,+23
8/8/8/p7/k1b5/8/8/1K6 b - - 0 1,True,3,567,0.088,-27
8/2N3k1/4p2p/1p2Pp1K/1P1n1P1P/8/8/8 b - - 0 1,False,6,6741,1.758,+254
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,6,2359,0.311,+21
6Q1/4K3/8/5q2/k7/4Q3/8/8 b - - 0 1,True,5,4313,0.798,0
8/8/6pp/8/7K/7P/6r1/5Rk1 b - - 0 1,True,3,728,0.188,-28
8/8/8/8/8/1kR5/p5r1/K7 b - - 0 1,True,6,11774,0.844,+25
8/8/8/8/7p/6k1/8/6K1 b - - 0 1,True,1,211,0.178,+23
1k6/8/PK6/8/8/2B5/8/8 w - - 0 1,True,1,91,0.046,-25
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,3,660,0.063,+8
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,47,0.011,-25
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.011,+23
8/8/8/8/8/3kp3/8/3K4 b - - 0 1,True,2,322,0.055,+22
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
6rk/8/5P1K/7P/8/p7/B7/8 w - - 0 1,False,6,4962,3.51,+58
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,276,0.026,+17
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,47,0.016,-25
1k6/8/P7/1K6/8/8/8/8 w - - 0 1,True,1,209,0.024,+23
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
8/8/8/8/7p/8/7p/5K1k w - - 0 1,False,6,1203,0.107,+1728
8/8/8/5N2/8/6k1/6p1/6K1 b - - 0 1,True,2,213,0.028,+29
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.006,+23
6k1/8/6BP/5K2/8/8/8/8 w - - 0 1,True,1,95,0.024,-25
8/8/8/8/8/7p/5K2/7k w - - 0 1,False,6,2038,0.095,+1301
K7/2k5/P7/5p2/8/8/8/8 b - - 0 1,False,6,3561,0.655,+26
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.007,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.009,-25
7K/5k2/7P/p7/Pp6/8/8/8 b - - 0 1,True,5,1506,0.168,+28
1B6/Pk6/8/1K6/8/8/8/8 w - - 0 1,False,6,9968,1.045,+104
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,225,0.011,+15
2rQ3k/7p/1p6/1p2p3/4Pp2/5n1b/7P/6RK b - - 0 1,False,6,14765,0.952,-1715
6k1/3B4/7K/8/8/8/7P/8 w - - 0 1,True,1,419,0.027,+23
6k1/8/7P/5K2/8/8/8/8 w - - 0 1,True,1,241,0.017,+23
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,320,0.018,+16
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,207,0.032,+23
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,True,5,5857,1.089,+25
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,209,0.047,+23
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
K1R5/3k4/P7/8/8/7p/8/8 b - - 0 1,False,6,5592,1.21,+944
6k1/8/6K1/5B1P/8/8/8/8 w - - 0 1,True,5,4674,0.79,+24
4k1QK/5q1P/8/8/8/8/8/8 b - - 0 1,True,5,5862,0.622,+6
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.013,+23
5qQK/4k2P/8/8/8/8/8/8 b - - 0 1,False,6,11629,1.58,+818
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.006,-25
8/6R1/8/5b2/7K/4kr2/8/8 b - - 0 1,True,2,856,0.146,+28
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,209,0.007,+23
8/Pk1K4/8/1N6/8/8/8/8 w - - 0 1,True,3,1200,0.167,-28
8/8/4p1p1/3pP3/3P2P1/p7/2K5/k7 w - - 0 1,False,6,2697,0.325,+486
7k/5R2/6R1/8/3P2rK/5P2/5P1P/8 w - - 0 1,True,3,1290,0.096,+23
8/8/8/8/8/kp6/8/K7 b - - 0 1,True,2,232,0.076,+15
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.019,-25
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,207,0.007,+23
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,2,361,0.019,+25
8/1p6/1K6/p3k3/P7/8/8/8 b - - 0 1,True,3,600,0.128,+8
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,220,0.12,+15
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,325,0.018,+16
1k6/8/1KP5/8/8/8/8/8 w - - 0 1,True,1,209,0.036,+23
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.024,+23
k7/8/KP6/8/8/8/8/8 w - - 0 1,True,1,139,0.019,+23
8/8/8/p7/k1K2p2/1p4P1/8/2B5 w - - 0 1,False,6,3871,0.622,+18807
2k5/8/1PK5/8/8/8/8/8 w - - 0 1,True,1,211,0.016,+23
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,302,0.016,-25
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,274,0.011,+17
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,3,643,0.018,+8
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,316,0.01,+22
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,207,0.008,+23
8/8/8/8/8/R6k/6rp/7K b - - 0 1,True,1,103,0.036,-25
8/8/8/4bk2/8/8/6Kp/8 b - - 0 1,False,6,12562,1.21,+637
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.01,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,53,0.011,-25
8/8/8/8/k7/p7/8/1K6 b - - 0 1,True,3,436,0.069,+14
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2160,0.073,+18
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2167,0.057,+18
8/8/8/8/8/3pk3/8/4K3 b - - 0 1,True,2,331,0.094,+22
2k5/8/2KP4/8/8/8/8/8 w - - 0 1,True,1,213,0.037,+23
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,6,1961,0.062,0
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.009,+23
6k1/8/7P/6K1/8/8/8/8 w - - 0 1,True,1,209,0.026,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,207,0.013,+23
8/8/8/8/2b5/pk6/8/1K6 b - - 0 1,False,6,6307,0.684,+1146
n7/PK6/3k2p1/3p2p1/3Pp1P1/4P3/8/8 b - - 0 1,False,6,4211,0.961,+60
K7/2k5/P7/8/8/8/8/8 b - - 0 1,True,1,215,0.023,+23
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,213,0.005,+23
7K/8/1Pk2Q2/8/4q3/8/8/8 b - - 0 1,True,1,841,0.093,+23
6k1/4K1p1/6PP/8/8/8/8/8 w - - 0 1,True,1,60,0.042,-25
8/6Q1/3K4/2P5/8/3q4/8/7k w - - 0 1,False,6,15104,3.526,+809
1k6/4B3/PK6/8/8/8/8/8 w - - 0 1,True,5,3648,0.413,+29
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.014,-25
8/8/8/1K6/8/3Q4/8/k1q5 w - - 0 1,True,1,790,0.069,+23
4k3/8/3PK3/8/8/8/8/8 w - - 0 1,True,1,213,0.074,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,207,0.017,+23
