fen,success,depth,nodes,time_s,score
2k5/8/2KP4/8/8/8/8/8 w - - 0 1,True,1,61,0.026,-25
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,367,0.015,+10
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.007,+23
6k1/8/7P/6K1/8/8/8/8 w - - 0 1,True,1,211,0.012,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.01,-25
8/8/8/8/2b5/pk6/8/1K6 b - - 0 1,True,4,1391,0.163,+21
n7/PK6/3k2p1/3p2p1/3Pp1P1/4P3/8/8 b - - 0 1,True,3,603,0.117,-15
K7/2k5/P7/8/8/8/8/8 b - - 0 1,True,1,57,0.033,-25
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,213,0.006,+23
7K/8/1Pk2Q2/8/4q3/8/8/8 b - - 0 1,True,4,3642,0.425,+26
6k1/4K1p1/6PP/8/8/8/8/8 w - - 0 1,True,2,371,0.374,-21
8/6Q1/3K4/2P5/8/3q4/8/7k w - - 0 1,False,6,12967,2.832,+855
1k6/4B3/PK6/8/8/8/8/8 w - - 0 1,True,1,447,0.027,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,217,0.011,+23
8/8/8/1K6/8/3Q4/8/k1q5 w - - 0 1,True,3,3826,0.46,+22
4k3/8/3PK3/8/8/8/8/8 w - - 0 1,True,1,209,0.05,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,54,0.017,-25
