fen,success,depth,nodes,time_s,score
6k1/8/7P/6K1/8/8/8/8 w - - 0 1,True,1,209,0.013,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.024,-25
8/8/8/8/2b5/pk6/8/1K6 b - - 0 1,True,3,1016,0.085,+18
n7/PK6/3k2p1/3p2p1/3Pp1P1/4P3/8/8 b - - 0 1,True,4,1449,0.241,+27
K7/2k5/P7/8/8/8/8/8 b - - 0 1,True,1,57,0.147,-25
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.01,+23
7K/8/1Pk2Q2/8/4q3/8/8/8 b - - 0 1,True,1,132,0.053,-25
6k1/4K1p1/6PP/8/8/8/8/8 w - - 0 1,True,1,58,0.023,-25
8/6Q1/3K4/2P5/8/3q4/8/7k w - - 0 1,False,6,12315,2.063,+641
1k6/4B3/PK6/8/8/8/8/8 w - - 0 1,True,1,87,0.025,-25
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,211,0.017,+23
8/8/8/1K6/8/3Q4/8/k1q5 w - - 0 1,True,2,922,0.086,+29
4k3/8/3PK3/8/8/8/8/8 w - - 0 1,True,1,209,0.019,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,211,0.014,+23
